Frequency,Input,Callsign,Description,System/Category,Tag,Updated
463.52500,,,Site 009 Lockport,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
463.56250,,,Site 101 Unidentified LCN,Harrahs Joliet Casino and Hotel,TRS,2010:06:14
463.58750,,,Site 108 Wilmington,Diga-Talk (NID-14),TRS,2010:03:14
463.60000,468.60000,WPOD874,First Student (Joliet),School Buses,Schools,2008:09:13
463.61250,,,Site 102 Wilmington [Will],A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:27
463.62500,,WPPT933,Kohls Department Store (Joliet?) [Expired 8/05],Retail,Business,2005:08:06
463.63750,468.63750,WQLY921,Operations - Future,Chicagoland Speedway (Joliet),Business,2010:06:14
463.65000,468.65000,WPMR282,Security/Maintenance (Naperville),Indian Prairie School District 204 (Naperville/Bollingbrook),Schools,2007:11:17
463.66250,468.66250,WQGP745,Security/Maintenance,FC Janes Park LLC dba Promanade Bolingbrook,Security,2007:05:06
463.68750,468.68750,WQGZ499,Lincoln Way Area Special Education,Frankfort Schools,Schools,2008:06:03
463.70000,,,Site 009 Lockport,A-Beep / Sears2 - UHF (Chicago),TRS,2009:01:26
463.76875,,,Site 114 Shorewood,Diga-Talk (NID-14),TRS,2013:04:30
463.78750,,,Site 101 Unidentified LCN,Harrahs Joliet Casino and Hotel,TRS,2010:06:14
463.81250,,WNXA292,Chamber of Commerce,Frankfort,Business,2007:03:21
463.83750,468.83750,WQBB696,Chime,Diageo Global Supply (Plainfield),Business,2010:03:06
463.85000,468.85000,WNPI836,Security / Maintenance,Silver Cross Hospital (Joliet / New Lenox),Security,2009:06:30
463.87500,468.87500,WPRT455,Operations,Chicagoland Speedway (Joliet),Business,2005:07:10
463.90000,468.90000,WPWW234,Operations (*other lic frqs),Crete-Monee School District 201V,Schools,2009:07:26
463.94375,,,Site 108 Wilmington,Diga-Talk (NID-14),TRS,2010:03:14
463.94375,,,Site 114 Shorewood,Diga-Talk (NID-14),TRS,2013:04:30
